アイウエオ	0.5
カキクケコガギグゲゴ	0.8
カキクケコ	0.5
ガギグゲゴ	0.5
サシスセソザジズゼゾ	0.8
サシスセソ	0.5
ザジズゼゾ	0.5
タチツテトダヂヅデド	0.8
タチツテト	0.5
ダヂヅデド	0.5
ナニヌネノ	0.5
ハヒフヘホバビブベボパピプペポヴ	0.8
ハヒフヘホ	0.5
バビブベボ	0.5
パピプペポ	0.5
マミムメモ	0.5
ヤユヨャュョ	0.8
ヤユヨ	0.5
ャュョ	0.5
ラリルレロ	0.5
アァカガサザタダナハバパマヤャラワヮ	0.6
カガサザタダナハバパマヤラワ	0.8
イィキギシジチヂニヒビピミリ	0.6
キギシジチヂニヒビピミリ	0.8
ウゥクグスズツヅヌフブプムユュルヴ	0.6
クグスズツッヅヌフブプムユルヴ	0.8
エェケヶゲセゼテデネヘベペメレ	0.6
ケゲセゼテデネヘベペメレ	0.8
オォコゴソゾトドノホボポモヨロヲ	0.6
コゴソゾトドノホボポモヨョロヲ	0.8
アァ	0.16
イィ	0.16
ウゥ	0.16
エェ	0.16
オォ	0.16
アナ	0.4
イニ	0.4
ウヌ	0.4
エネ	0.4
オノ	0.4
アマ	0.4
イミ	0.4
ウム	0.4
エメ	0.4
オモ	0.4
ウヴ	0.16
カガ	0.16
キギ	0.16
クグ	0.16
ケゲ	0.16
コゴ	0.16
サザ	0.16
シジ	0.16
シチ	0.3
シヂ	0.4
ジヂ	0.1
スズ	0.16
ズヅ	0.1
セゼ	0.16
ソゾ	0.16
タダ	0.16
チヂ	0.16
チジ	0.4
ツヅ	0.16
ツッ	0.16
テデ	0.16
トド	0.16
ナマ	0.4
ニミ	0.4
ヌム	0.4
ネメ	0.4
ノモ	0.4
ハワ	0.4
ハバパ	0.16
ヒビピ	0.16
フブプ	0.16
ブヴ	0.1
ヘベペ	0.16
ホボポ	0.16
ヤャ	0.16
ユュ	0.16
ヨョ	0.16
アヤ	0.4
ウユ	0.4
オヨ	0.4
ァヤ	0.4
ゥユ	0.4
ォヨ	0.4
ァャ	0.3
ゥュ	0.3
ォョ	0.3
アワ	0.4
オヲ	0.1
ンヌ	0.4
ンウ	0.4
アー	0.4
イー	0.4
ウー	0.4
エー	0.4
オー	0.4
ァー	0.4
ィー	0.4
ゥー	0.4
ェー	0.4
ォー	0.4
ワヮ	0.16
カヵ	0.16
ケヶ	0.16
